State,District,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Region
Andaman and Nicobar Islands,North and Middle Andaman,11.55482845,92.23849,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,South Andaman,10.7056905,92.48746789633373,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,Nicobars,10.7056905,92.48746789633373,10.7056905,92.48746789633373,Southern Region
Andhra Pradesh,East Godavari,17.233496,81.7225986,17.233496,81.7225986,Southern Region
Andhra Pradesh,Srikakulam,17.233496,81.7225986,17.233496,81.7225986,Southern Region
Andhra Pradesh,Spsr Nellore,14.71875825,79.65961022770595,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,Vizianagaram,18.110744,83.386585,18.110744,83.386585,Southern Region
Andhra Pradesh,Visakhapatnam,18.110744,83.386585,18.110744,83.386585,Southern Region
Andhra Pradesh,Prakasam,15.2282086,79.87449940066091,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,Anantapur,15.2282086,79.87449940066091,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,Ysr,17.0771387,81.6653938,17.0771387,81.6653938,Southern Region
Andhra Pradesh,West Godavari,16.9550574,81.4530037,16.9550574,81.4530037,Southern Region
Andhra Pradesh,Kurnool,15.8344103,78.0499956,15.8344103,78.0499956,Southern Region
Andhra Pradesh,Chittoor,13.0108668,79.2249071,13.0108668,79.2249071,Southern Region
Andhra Pradesh,Guntur,13.0108668,79.2249071,13.0108668,79.2249071,Southern Region
Andhra Pradesh,Krishna,17.0347692,81.7819183,17.0347692,81.7819183,Southern Region
Arunachal Pradesh,Lower Dibang Valley,17.0347692,81.7819183,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,Lower Subansiri,27.8,93.6,27.8,93.6,North-Eastern Region
Arunachal Pradesh,Longding,27.8,93.6,27.8,93.6,North-Eastern Region
Arunachal Pradesh,West Siang,28.4,94.55,28.4,94.55,North-Eastern Region
Arunachal Pradesh,Kamle,28.4,94.55,28.4,94.55,North-Eastern Region
Arunachal Pradesh,Upper Siang,28.6416983,95.0252232,28.6416983,95.0252232,North-Eastern Region
Arunachal Pradesh,Tirap,27.5013437,96.5242944,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,Papum Pare,27.5013437,96.5242944,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,Kurung Kumey,27.98636765,93.15783468644102,27.98636765,93.15783468644102,North-Eastern Region
Arunachal Pradesh,Siang,28.477492,94.81655728795752,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,Lower Siang,28.477492,94.81655728795752,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,Kra Daadi,27.9366293,92.6658618,27.9366293,92.6658618,North-Eastern Region
Arunachal Pradesh,Changlang,27.272007,96.06552596101916,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,Pakke Kessang,27.1061731,92.9311395,27.1061731,92.9311395,North-Eastern Region
Arunachal Pradesh,Dibang Valley,28.8291044,95.95540957636018,28.8291044,95.95540957636018,North-Eastern Region
Arunachal Pradesh,West Kameng,27.33862695,92.43336623881612,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,East Siang,28.3,95.15,28.3,95.15,North-Eastern Region
Arunachal Pradesh,Upper Subansiri,28.3,94.0,28.3,94.0,North-Eastern Region
Arunachal Pradesh,East Kameng,27.55778095,92.96738426595108,27.55778095,92.96738426595108,North-Eastern Region
Arunachal Pradesh,Lohit,28.0060625,96.2431946,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,Lepa Rada,28.0060625,96.2431946,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,Tawang,27.6741942,91.93620587613825,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,Namsai,27.6741942,91.93620587613825,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,Anjaw,28.1114301,96.82699963398372,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,Shi Yomi,28.1114301,96.82699963398372,28.1114301,96.82699963398372,North-Eastern Region
Assam,Tinsukia,27.5971709,95.566852920138,27.5971709,95.566852920138,North-Eastern Region
Assam,Lakhimpur,27.2382645,94.1053145,27.2382645,94.1053145,North-Eastern Region
Assam,Kamrup,26.2074223,91.6771799,26.2074223,91.6771799,North-Eastern Region
Assam,Kokrajhar,26.2074223,91.6771799,26.2074223,91.6771799,North-Eastern Region
